sku,brand,size,price,special_price,cost,qty,name,material,care_instructions,description,rmscategory,gender,season,supplier,colour,type,has_options,status,visibility,product_type_id,category_ids,nonrefundable,discount,attribute_set,store,websites,page_layout,options_container,gift_message_available,promo_offer,image,small_image,thumbnail,configurable_attributes,media_gallery,weight,length,width,height,pod1_shutl_default_vehicle,nextdayshipping,eushipping,shutl,pod1_shutl,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,store_id,enable_googlecheckout,tax_class_id,worldwideshipping,freeshipping,samedayshipping,standardshipping,meta_title,meta_description,url_key,url_path,custom_design,product_status_changed,product_changed_websites,image_label,small_image_label,thumbnail_label,related_targetrule_position_limit,related_targetrule_position_behavior,upsell_targetrule_position_limit,upsell_targetrule_position_behavior,low_stock_date,notify_stock_qty,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,short_description,meta_keyword,custom_layout_update
NTV/GLM06 BLK 10,Native,10,80,69,12.6,,Native  Jiffy Black Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens jiffy black Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with d-rings with black round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Blacks,simple,0,Enabled,Not Visible Individually,simple,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 BLK 11,Native,11,80,69,12.6,,Native  Jiffy Black Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens jiffy black Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with d-rings with black round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Blacks,simple,0,Enabled,Not Visible Individually,simple,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 BLK,Native,,80,69,12.6,,Native  Jiffy Black Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens jiffy black Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with d-rings with black round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Blacks,configurable,1,Enabled,"Catalog, Search",configurable,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_BLK1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_BLK1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_BLK1.jpg,size,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_BLK1.jpg;http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_BLK2.jpg;http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_BLK3.jpg;http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_BLK4.jpg;;;;;;,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 GRY 8,Native,8,80,69,12.6,,Native  Bottle Cap Grey Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens bottle cap grey Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Contrasting black rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with contrasting black d-rings and round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Greys,simple,0,Enabled,Not Visible Individually,simple,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 GRY 9,Native,9,80,69,12.6,,Native  Bottle Cap Grey Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens bottle cap grey Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Contrasting black rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with contrasting black d-rings and round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Greys,simple,0,Enabled,Not Visible Individually,simple,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 GRY 10,Native,10,80,69,12.6,,Native  Bottle Cap Grey Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens bottle cap grey Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Contrasting black rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with contrasting black d-rings and round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Greys,simple,0,Enabled,Not Visible Individually,simple,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 GRY 11,Native,11,80,69,12.6,,Native  Bottle Cap Grey Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens bottle cap grey Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Contrasting black rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with contrasting black d-rings and round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Greys,simple,0,Enabled,Not Visible Individually,simple,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 GRY 12,Native,12,80,69,12.6,,Native  Bottle Cap Grey Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens bottle cap grey Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Contrasting black rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with contrasting black d-rings and round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Greys,simple,0,Enabled,Not Visible Individually,simple,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTV/GLM06 GRY,Native,,80,69,12.6,,Native  Bottle Cap Grey Fitzsimmons Lace Up Hiker Shoes,Synthetic,0,"<ul><li>Native Mens bottle cap grey Fitzsimmons lace up hiker shoes  </li><li>Ultra lightweight plastic uppers </li><li>Elasticated footsock lining</li><li>Contrasting black rugged hiking sole unit with branding displayed on the front pull tab and outer sole unit.</li><li> Lace up front closure with contrasting black d-rings and round woven laces</li><li> Other features: Washable, water resistant, beast free(no leather), dual-density, shock absorbent and odor resistant</li><li>RRP:&pound;80.00</li></ul>",Casual Shoes,Mens,,Banana Connection,Greys,configurable,1,Enabled,"Catalog, Search",configurable,"498,437",No,"Save 11 GBP, 14 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_GRY1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_GRY1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_GRY1.jpg,size,http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_GRY1.jpg;http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_GRY2.jpg;http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_GRY3.jpg;http://ilovebrands-ebay.s3.amazonaws.com/NTVGLM06_GRY4.jpg;;;;;;,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBS/001 WHT 10,Ted Baker,10,65,55,12.6,,Ted Baker  White Leather Askook Trainers Shoes,Leather,0,<ul><li>Ted Baker mens white leather trainers </li><li>Leather main trimmed with off white suede to the back</li><li>Lace up front with flat white woven laces</li><li>Contrasting off white branded suede tab to the back</li><li>Blind eyelets </li><li>A round toe</li><li>Black embossed branding the outer side and tongue</li><li>Textured rubber sole</li><li>RRP:&pound;65.00</li></ul>,Trainers,Mens,,Banana Connection,Whites,simple,0,Enabled,Not Visible Individually,simple,"499,435",No,"Save 10 GBP, 16 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
